row_idx,total_graders,num_available_graders,num_graders,spu_GED2_all,spu_E_IoU_SY_all,spu_E_IoU_SS_all,spu_E_IoU_YY_all,hpu_GED2_all,hpu_E_IoU_SY_all,hpu_E_IoU_SS_all,hpu_E_IoU_YY_all,spu_IoUrec_all,hpu_IoUrec_all,spu_Hungarian_all,hpu_Hungarian_all,num_nonempty_graders,spu_GED2_nonempty,spu_E_IoU_SY_nonempty,spu_E_IoU_SS_nonempty,spu_E_IoU_YY_nonempty,hpu_GED2_nonempty,hpu_E_IoU_SY_nonempty,hpu_E_IoU_SS_nonempty,hpu_E_IoU_YY_nonempty,spu_IoUrec_nonempty,hpu_IoUrec_nonempty,spu_Hungarian_nonempty,hpu_Hungarian_nonempty
1224,4,1,4,0.04302670623145399,0.603486646884273,0.625,0.625,0.00439453125,0.622802734375,0.625,0.625,0.913946587537092,0.9912109375,0.7809090909090909,0.7477954971857411,1,0.6884272997032641,0.655786350148368,1.0,1.0,0.0703125,0.96484375,1.0,1.0,0.655786350148368,0.96484375,0.030909090909090903,0.09843652282676674
1225,4,1,4,0.027319587628865882,0.6113402061855671,0.625,0.625,0.0032276995305164924,0.6233861502347418,0.625,0.625,0.945360824742268,0.9935446009389671,0.7283166522174257,0.8129067245119307,1,0.43711340206185567,0.7814432989690722,1.0,1.0,0.05164319248826299,0.9741784037558685,1.0,1.0,0.7814432989690722,0.9741784037558685,0.06401812828308999,0.06290672451193058
1226,4,1,4,0.028999999999999915,0.6105,0.625,0.625,0.00300369685767099,0.6234981515711645,0.625,0.625,0.942,0.993992606284658,0.7503115264797507,0.7427806839097162,1,0.46399999999999997,0.768,1.0,1.0,0.04805914972273562,0.9759704251386322,1.0,1.0,0.768,0.9759704251386322,0.00031152647975078257,0.10057638283444732
1227,4,1,4,0.018359374999999956,0.6158203125,0.625,0.625,0.00251677852348986,0.6237416107382551,0.625,0.625,0.96328125,0.9949664429530202,0.6822297679683079,0.824773413897281,1,0.29374999999999996,0.853125,1.0,1.0,0.04026845637583887,0.9798657718120806,1.0,1.0,0.853125,0.9798657718120806,0.0155631013016412,0.07477341389728097
1228,4,1,4,0.035798122065727744,0.6071009389671361,0.625,0.625,0.0015938069216758777,0.6242030965391621,0.625,0.625,0.9284037558685446,0.9968123861566485,0.44990656146179403,0.4701017317899165,1,0.5727699530516432,0.7136150234741784,1.0,1.0,0.02550091074681249,0.9872495446265938,1.0,1.0,0.7136150234741784,0.9872495446265938,0.1952385010784863,0.25165545666650563
1229,4,1,4,0.02980491329479773,0.6100975433526011,0.625,0.625,0.002777777777777768,0.6236111111111111,0.625,0.625,0.9403901734104047,0.9944444444444445,0.5694606971806646,0.6444985932978905,1,0.476878612716763,0.7615606936416185,1.0,1.0,0.04444444444444451,0.9777777777777777,1.0,1.0,0.7615606936416185,0.9777777777777777,0.10760870836992613,0.20827242630249265
1230,4,1,4,0.02199504337050806,0.614002478314746,0.625,0.625,0.0032713498622589654,0.6233643250688705,0.625,0.625,0.9560099132589839,0.9934573002754821,0.7214507989449132,0.8146706658097074,1,0.35192069392812897,0.8240396530359355,1.0,1.0,0.052341597796143224,0.9738292011019284,1.0,1.0,0.8240396530359355,0.9738292011019284,0.0674386349268633,0.19074484039134468
1231,4,1,4,0.02277861445783147,0.6136106927710843,0.625,0.625,0.002450980392156854,0.6237745098039216,0.625,0.625,0.9544427710843373,0.9950980392156863,0.6748203427307904,0.8601046698872786,1,0.3644578313253013,0.8177710843373494,1.0,1.0,0.03921568627450989,0.9803921568627451,1.0,1.0,0.8177710843373494,0.9803921568627451,0.009121061359867325,0.11010466988727859
1232,4,1,4,0.02134502923976611,0.6143274853801169,0.625,0.625,0.0030063291139241777,0.6234968354430379,0.625,0.625,0.9573099415204678,0.9939873417721519,0.6867816091954023,0.6545738554888522,1,0.34152046783625734,0.8292397660818713,1.0,1.0,0.048101265822784844,0.9759493670886076,1.0,1.0,0.8292397660818713,0.9759493670886076,0.026181353767560662,0.21634206594012184
1233,4,1,4,0.02877565982404695,0.6106121700879765,0.625,0.625,0.0035714285714285587,0.6232142857142857,0.625,0.625,0.9424486803519061,0.9928571428571429,0.6300746637519964,0.8697318007662836,1,0.46041055718475077,0.7697947214076246,1.0,1.0,0.05714285714285716,0.9714285714285714,1.0,1.0,0.7697947214076246,0.9714285714285714,0.17463933188163772,0.11973180076628352
1234,4,1,4,0.02815468113975572,0.6109226594301221,0.625,0.625,0.0026119402985074203,0.6236940298507463,0.625,0.625,0.9436906377204884,0.994776119402985,0.5674434024817656,0.4963706512204582,1,0.4504748982360922,0.7747625508819539,1.0,1.0,0.04179104477611939,0.9791044776119403,1.0,1.0,0.7747625508819539,0.9791044776119403,0.07820416324252642,0.3375573760705494
1235,4,1,4,0.027798507462686528,0.6111007462686567,0.625,0.625,0.0024590163934425924,0.6237704918032787,0.625,0.625,0.9444029850746268,0.9950819672131148,0.7126103752759382,0.6218158617692967,1,0.4447761194029851,0.7776119402985074,1.0,1.0,0.03934426229508192,0.980327868852459,1.0,1.0,0.7776119402985074,0.980327868852459,0.046081677704194246,0.22560786310228167
1236,4,1,4,0.029130434782608683,0.6104347826086957,0.625,0.625,0.004293893129771131,0.6228530534351144,0.625,0.625,0.9417391304347826,0.991412213740458,0.25376231494652546,0.8010265700483092,1,0.46608695652173915,0.7669565217391304,1.0,1.0,0.06870229007633588,0.9656488549618321,1.0,1.0,0.7669565217391304,0.9656488549618321,0.17353215993586568,0.14553140096618358
1237,4,1,4,0.030525846702317283,0.6097370766488414,0.625,0.625,0.0019493177387914784,0.6240253411306043,0.625,0.625,0.9389483065953654,0.9961013645224172,0.5531949934123847,0.496834689894807,1,0.48841354723707675,0.7557932263814616,1.0,1.0,0.031189083820662766,0.9844054580896686,1.0,1.0,0.7557932263814616,0.9844054580896686,0.09109241142489223,0.2982617729361361
